symbol,entry_date,exit_date,entry_price,exit_price,gap_size_pct,volume_ratio,body_pct,pnl_gross,pnl_net,exit_reason,stopped_out,hold_days,hold_bars,allocated_capital,trade_pnl_rupees,year
PRAJIND,2026-02-17,2026-02-19,333.2666,316.6032,5.3,6.09,9.88,-0.05,-0.053,stopped_out,True,2,2,101727.69,-5391.57,2026
GODREJIND,2026-02-19,2026-03-02,1026.613,974.5125,2.16,10.08,3.8,-0.05075,-0.05375,stopped_out_gap,False,11,7,100649.37,-5409.9,2026
SHRIPISTON,2026-02-23,2026-03-06,3076.7376,2922.9007,2.04,1.75,3.23,-0.05,-0.053,stopped_out,True,11,8,114001.13,-6042.06,2026
SHRIPISTON,2026-02-24,2026-03-02,3185.1919,2999.7994,0.56,2.31,3.87,-0.058204,-0.061204,stopped_out_gap,False,6,4,141294.57,-8647.79,2026
SCHAEFFLER,2026-02-24,2026-02-25,4053.4906,4256.1651,3.09,4.22,3.02,0.05,0.047,take_profit,False,1,1,113035.65,5312.68,2026
KRN,2026-02-25,2026-03-02,1000.1498,945.527,1.32,4.4,5.23,-0.054615,-0.057615,stopped_out_gap,False,5,3,114098.19,-6573.77,2026
INDUSINDBK,2026-02-26,2026-03-04,965.0823,916.8282,0.97,2.22,2.84,-0.05,-0.053,stopped_out,True,6,3,111205.98,-5893.92,2026
PARAS,2026-03-02,2026-03-04,671.1854,704.7447,7.16,15.08,5.48,0.05,0.047,take_profit,False,2,1,124837.53,5867.36,2026
SOLARINDS,2026-03-02,2026-03-05,13995.9945,14788.602,1.28,2.87,6.79,0.056631,0.053631,take_profit_gap,False,3,2,99870.03,5356.13,2026
TEJASNET,2026-03-02,2026-03-04,484.9424,509.1895,6.46,7.92,15.02,0.05,0.047,take_profit,False,2,1,156046.92,7334.21,2026
NATIONALUM,2026-03-04,2026-03-05,373.6867,392.3711,3.4,2.78,2.33,0.05,0.047,take_profit,False,1,1,159775.64,7509.46,2026
CHENNPETRO,2026-03-04,2026-03-05,992.5371,1042.164,1.64,5.55,10.41,0.05,0.047,take_profit,False,1,1,127820.51,6007.56,2026
COALINDIA,2026-03-04,2026-03-05,435.3676,457.1359,2.39,2.52,2.15,0.05,0.047,take_profit,False,1,1,102256.41,4806.05,2026
NAVINFLUOR,2026-03-05,2026-03-12,6507.7522,6182.3646,4.16,1.51,6.46,-0.05,-0.053,stopped_out,True,7,5,184485.48,-9777.73,2026
ABSLAMC,2026-03-05,2026-03-10,892.9963,937.6461,0.61,1.69,2.83,0.05,0.047,take_profit,False,5,3,147588.39,6936.65,2026
DATAPATTNS,2026-03-05,2026-03-06,3360.8796,3528.9235,2.71,2.51,7.51,0.05,0.047,take_profit,False,1,1,118070.71,5549.32,2026
TATAPOWER,2026-03-05,2026-03-12,377.0384,395.8904,0.85,1.59,2.89,0.05,0.047,take_profit,False,7,5,94456.57,4439.46,2026
MRPL,2026-03-06,2026-03-09,202.3836,192.2644,1.53,3.21,2.77,-0.05,-0.053,stopped_out,True,3,1,121881.08,-6459.7,2026
BELRISE,2026-03-06,2026-03-12,197.2986,187.4337,1.08,3.1,4.56,-0.05,-0.053,stopped_out,True,6,4,97504.86,-5167.76,2026
AADHARHFC,2026-03-09,2026-03-13,481.9409,457.8438,1.6,2.89,9.08,-0.05,-0.053,stopped_out,True,4,4,101088.16,-5357.67,2026
GLENMARK,2026-03-10,2026-03-19,2226.9129,2115.5673,4.64,3.21,4.01,-0.05,-0.053,stopped_out,True,9,7,111775.54,-5924.1,2026
NTPCGREEN,2026-03-12,2026-03-13,97.6988,102.5838,5.38,15.56,12.89,0.05,0.047,take_profit,False,1,1,104069.51,4891.27,2026
ADANIPOWER,2026-03-12,2026-03-17,149.1846,156.6438,2.15,4.66,7.4,0.05,0.047,take_profit,False,5,3,162608.61,7642.6,2026
NLCINDIA,2026-03-12,2026-03-23,265.3826,252.1135,0.92,5.96,7.15,-0.05,-0.053,stopped_out,True,11,7,130086.89,-6894.6,2026
THERMAX,2026-03-13,2026-03-23,3222.6105,3061.48,1.34,1.82,1.77,-0.05,-0.053,stopped_out,True,10,6,124193.86,-6582.27,2026
CHENNPETRO,2026-03-16,2026-03-17,981.2707,1030.3342,1.86,2.68,9.96,0.05,0.047,take_profit,False,1,1,99355.09,4669.69,2026
ACUTAAS,2026-03-17,2026-03-19,2303.7514,2176.3112,3.26,1.93,5.53,-0.055319,-0.058319,stopped_out_gap,False,2,2,134339.27,-7834.53,2026
